User ID,Timestamp,Latitude,Longitude,Location ID
73655,2010-02-12T17:12:33Z,32.7844829195,-96.79679811,179829
3888,2010-01-14T19:29:02Z,37.8005003833,-122.4074578167,9161
125904,2010-07-15T20:50:45Z,36.41396295,-89.06678175,1291480
12788,2010-10-16T14:40:23Z,33.9984720019,-81.0480844975,89495
4982,2010-07-13T22:24:54Z,40.750112933,-74.002287067,1435906
39723,2010-04-03T13:06:52Z,59.3117874728,18.0755676884,860542
28586,2010-03-30T13:22:39Z,32.4149922646,-93.7301373482,529013
601,2010-03-25T00:13:32Z,40.8597057739,-74.3298643827,195800
109264,2010-08-31T12:58:40Z,41.4911031333,-71.4374096,501241
3395,2010-04-11T02:53:15Z,33.12747575,-96.65582925,521810
76302,2010-06-22T22:22:27Z,40.50191115,-111.8867592667,70509
14892,2010-04-03T13:41:08Z,56.777448,14.5860994833,86862
75043,2010-09-08T22:49:53Z,30.2684909525,-97.7426070624,506789
36961,2010-05-25T02:22:44Z,37.8073739833,-122.43444815,97058
42382,2010-10-14T16:34:35Z,49.1923901001,16.6089785099,222651
74226,2010-06-30T04:01:47Z,40.74775904,-73.98713415,566051
401,2010-08-22T01:38:14Z,30.5655505,-97.6901204,69352
155893,2010-04-13T16:16:30Z,33.9042131333,-84.4853101,284154
4923,2009-12-26T20:30:47Z,41.657783456,-87.7461390481,273807
3049,2010-07-25T16:47:36Z,32.707509817,-117.16165425,1473604
79,2010-05-22T14:36:38Z,30.2670273144,-97.7445030212,17831
11556,2010-01-26T22:49:12Z,41.1024200167,-81.4656879167,458204
32415,2010-09-24T11:18:25Z,42.5259182668,-83.4655165672,1007664
22217,2009-12-24T06:10:03Z,37.7758196,-122.4090319833,17153
1426,2010-08-23T03:43:13Z,35.8272206667,-90.6781268,246809
14878,2010-06-26T14:26:32Z,-26.01361745,28.0251305833,686658
120763,2010-02-06T02:03:43Z,53.7931994667,-1.5419599333,513228
124638,2010-06-17T15:38:06Z,33.2454488272,-111.8420380354,746105
4632,2010-05-02T03:48:58Z,32.5107727833,-92.1574988667,502312
12082,2010-03-14T18:41:58Z,30.2635153076,-97.7401685715,671960
83309,2010-08-13T23:26:04Z,39.7552571308,-105.009534359,61301
60744,2010-06-17T17:50:30Z,51.0547892187,3.7219834328,891932
138078,2010-05-04T19:13:33Z,33.84868965,-84.6123182333,443619
9861,2010-09-30T16:26:34Z,40.7862280278,-111.9822263718,34041
103983,2010-07-12T20:15:11Z,59.3063541769,17.9895222187,954017
4883,2010-06-25T17:35:04Z,36.5234070667,-77.5876784833,663133
19656,2010-07-16T18:08:58Z,35.0085573652,-85.3218734264,372728
3279,2010-09-10T16:08:43Z,24.7047379667,46.6650452833,327431
